date,airline,ch_code,num_code,dep_time,from,time_taken,stop,arr_time,to,price,class,ticket_id
2/11/2022,Vistara,UK,818,19:40,Bangalore,02h 45m,non-stop ,22:25,Delhi,34043,business,252
2/11/2022,Vistara,UK,985,19:50,Delhi,02h 10m,non-stop ,22:00,Mumbai,50264,business,253
2/11/2022,Air India,AI,479,21:15,Delhi,17h 45m,1-stop,15:00,Mumbai,50669,business,254
2/11/2022,Vistara,UK,774,20:35,Kolkata,20h 10m,1-stop,16:45,Delhi,75393,business,255
2/11/2022,Vistara,UK,774,20:35,Kolkata,17h 55m,1-stop,14:30,Delhi,78271,business,256
2/12/2022,Air India,AI,531,20:00,Delhi,24h 45m,1-stop,20:45,Mumbai,37286,business,257
2/12/2022,Air India,AI,538,20:20,Chennai,21h 40m,1-stop,18:00,Mumbai,56943,business,258
2/12/2022,Air India,AI,698,22:15,Hyderabad,12h 00m,1-stop,10:15,Delhi,44640,business,259
2/12/2022,Vistara,UK,977,19:00,Delhi,02h 15m,non-stop ,21:15,Mumbai,40296,business,260
2/12/2022,Air India,AI,526,19:00,Kolkata,18h 50m,1-stop,13:50,Delhi,56206,business,261
13-02-2022,Air India,AI,839,21:25,Delhi,26h 30m,1-stop,23:55,Mumbai,42770,business,262
13-02-2022,Air India,AI,766,8:15,Chennai,11h 50m,1-stop,20:05,Mumbai,57777,business,263
13-02-2022,Vistara,UK,876,21:35,Hyderabad,19h 20m,1-stop,16:55,Delhi,72774,business,264
13-02-2022,Air India,AI,526,19:00,Kolkata,23h 30m,1-stop,18:30,Delhi,49510,business,265
13-02-2022,Air India,AI,542,9:45,Delhi,14h 10m,1-stop,23:55,Mumbai,44450,business,266
14-02-2022,Air India,AI,515,9:35,Hyderabad,27h 25m,1-stop,13:00,Delhi,44583,business,267
14-02-2022,Vistara,UK,951,14:20,Delhi,02h 10m,non-stop ,16:30,Mumbai,37048,business,268
14-02-2022,Vistara,UK,627,13:20,Delhi,26h 40m,1-stop,16:00,Mumbai,37417,business,269
14-02-2022,Vistara,UK,838,21:05,Chennai,12h 40m,1-stop,9:45,Mumbai,64113,business,270
14-02-2022,Air India,AI,526,19:00,Kolkata,18h 50m,1-stop,13:50,Delhi,43910,business,271
15-02-2022,Air India,AI,430,9:55,Chennai,10h 05m,1-stop,20:00,Mumbai,49553,business,272
15-02-2022,Air India,AI,624,19:00,Delhi,02h 15m,non-stop ,21:15,Mumbai,36995,business,273
15-02-2022,Air India,AI,507,8:40,Hyderabad,15h 15m,1-stop,23:55,Delhi,37846,business,274
