date,airline,ch_code,num_code,dep_time,from,time_taken,stop,arr_time,to,price,class,ticket_id
24/03/22,Vistara,UK,893,19:55,Bangalore,18h 35m,1-stop,14:30,Mumbai,4792,economy,1
24/03/22,Vistara,UK,897,7:55,Bangalore,26h 05m,1-stop,10:00,Mumbai,4792,economy,2
24/03/22,SpiceJet,SG,3027,5:45,Bangalore,09h 00m,1-stop,14:45,Mumbai,4613,economy,3
24/03/22,Indigo,6E,841,14:50,Bangalore,04h 55m,1-stop,19:45,Mumbai,4806,economy,4
24/03/22,GO FIRST,G8,805,8:15,Bangalore,15h 15m,1-stop,23:30,Mumbai,4807,economy,5
24/03/22,Indigo,6E,161,13:35,Bangalore,04h 10m,1-stop,17:45,Mumbai,5012,economy,6
24/03/22,GO FIRST,G8,803,18:50,Bangalore,07h 10m,1-stop,2:00,Mumbai,5744,economy,7
24/03/22,GO FIRST,G8,803,18:50,Bangalore,13h 50m,1-stop,8:40,Mumbai,5744,economy,8
24/03/22,GO FIRST,G8,801,5:30,Bangalore,14h 45m,1-stop,20:15,Mumbai,5744,economy,9
24/03/22,Air India,AI,516,7:35,Bangalore,12h 25m,1-stop,20:00,Mumbai,5761,economy,10
24/03/22,Air India,AI,516,7:35,Bangalore,13h 40m,1-stop,21:15,Mumbai,5761,economy,11
24/03/22,Air India,AI,516,7:35,Bangalore,14h 00m,1-stop,21:35,Mumbai,5761,economy,12
24/03/22,Air India,AI,516,7:35,Bangalore,14h 35m,1-stop,22:10,Mumbai,5761,economy,13
24/03/22,Air India,AI,516,7:35,Bangalore,25h 30m,1-stop,9:05,Mumbai,5761,economy,14
24/03/22,Air India,AI,9517,18:50,Bangalore,18h 00m,1-stop,12:50,Mumbai,5771,economy,15
24/03/22,Air India,AI,9517,18:50,Bangalore,23h 10m,1-stop,18:00,Mumbai,5771,economy,16
24/03/22,Air India,AI,9517,18:50,Bangalore,25h 10m,1-stop,20:00,Mumbai,5771,economy,17
24/03/22,Vistara,UK,657,11:30,Bangalore,10h 05m,1-stop,21:35,Mumbai,6332,economy,18
24/03/22,Air India,AI,505,10:25,Bangalore,07h 35m,1-stop,18:00,Mumbai,6158,economy,19
24/03/22,Air India,AI,505,10:25,Bangalore,09h 35m,1-stop,20:00,Mumbai,6158,economy,20
24/03/22,Air India,AI,505,10:25,Bangalore,10h 50m,1-stop,21:15,Mumbai,6158,economy,21
24/03/22,Air India,AI,505,10:25,Bangalore,11h 10m,1-stop,21:35,Mumbai,6158,economy,22
24/03/22,Air India,AI,505,10:25,Bangalore,11h 45m,1-stop,22:10,Mumbai,6158,economy,23
24/03/22,Air India,AI,503,17:50,Bangalore,15h 15m,1-stop,9:05,Mumbai,6158,economy,24
24/03/22,Air India,AI,503,17:50,Bangalore,16h 20m,1-stop,10:10,Mumbai,6158,economy,25
24/03/22,Air India,AI,503,17:50,Bangalore,17h 25m,1-stop,11:15,Mumbai,6158,economy,26
24/03/22,Air India,AI,503,17:50,Bangalore,19h 00m,1-stop,12:50,Mumbai,6158,economy,27
24/03/22,Air India,AI,505,10:25,Bangalore,22h 40m,1-stop,9:05,Mumbai,6158,economy,28
24/03/22,Air India,AI,505,10:25,Bangalore,23h 45m,1-stop,10:10,Mumbai,6158,economy,29
24/03/22,Air India,AI,503,17:50,Bangalore,24h 10m,1-stop,18:00,Mumbai,6158,economy,30
24/03/22,Air India,AI,503,17:50,Bangalore,26h 10m,1-stop,20:00,Mumbai,6158,economy,31
24/03/22,Air India,AI,503,17:50,Bangalore,27h 25m,1-stop,21:15,Mumbai,6158,economy,32
24/03/22,GO FIRST,G8,808,11:00,Bangalore,09h 20m,1-stop,20:20,Mumbai,6199,economy,33
24/03/22,Vistara,UK,808,8:00,Bangalore,06h 00m,1-stop,14:00,Mumbai,6568,economy,34
24/03/22,Vistara,UK,820,17:50,Bangalore,06h 00m,1-stop,23:50,Mumbai,6568,economy,35
24/03/22,Vistara,UK,816,11:30,Bangalore,06h 10m,1-stop,17:40,Mumbai,6568,economy,36
24/03/22,Vistara,UK,812,9:45,Bangalore,06h 45m,1-stop,16:30,Mumbai,6568,economy,37
24/03/22,Vistara,UK,810,7:00,Bangalore,07h 00m,1-stop,14:00,Mumbai,6568,economy,38
24/03/22,Vistara,UK,808,8:00,Bangalore,07h 00m,1-stop,15:00,Mumbai,6568,economy,39
24/03/22,Vistara,UK,816,11:30,Bangalore,07h 35m,1-stop,19:05,Mumbai,6568,economy,40
24/03/22,Vistara,UK,812,9:45,Bangalore,07h 55m,1-stop,17:40,Mumbai,6568,economy,41
24/03/22,Vistara,UK,810,7:00,Bangalore,08h 00m,1-stop,15:00,Mumbai,6568,economy,42
24/03/22,Vistara,UK,808,8:00,Bangalore,08h 30m,1-stop,16:30,Mumbai,6568,economy,43
24/03/22,Vistara,UK,812,9:45,Bangalore,09h 20m,1-stop,19:05,Mumbai,6568,economy,44
24/03/22,Vistara,UK,810,7:00,Bangalore,09h 30m,1-stop,16:30,Mumbai,6568,economy,45
24/03/22,Vistara,UK,808,8:00,Bangalore,09h 40m,1-stop,17:40,Mumbai,6568,economy,46
24/03/22,Vistara,UK,816,11:30,Bangalore,10h 30m,1-stop,22:00,Mumbai,6568,economy,47
24/03/22,Vistara,UK,810,7:00,Bangalore,10h 40m,1-stop,17:40,Mumbai,6568,economy,48
24/03/22,Vistara,UK,814,21:10,Bangalore,10h 45m,1-stop,7:55,Mumbai,6568,economy,49
24/03/22,Vistara,UK,808,8:00,Bangalore,11h 05m,1-stop,19:05,Mumbai,6568,economy,50
24/03/22,Vistara,UK,816,11:30,Bangalore,11h 20m,1-stop,22:50,Mumbai,6568,economy,51
24/03/22,Vistara,UK,810,7:00,Bangalore,12h 05m,1-stop,19:05,Mumbai,6568,economy,52
24/03/22,Vistara,UK,812,9:45,Bangalore,12h 15m,1-stop,22:00,Mumbai,6568,economy,53
24/03/22,Vistara,UK,818,19:40,Bangalore,12h 15m,1-stop,7:55,Mumbai,6568,economy,54
24/03/22,Vistara,UK,816,11:30,Bangalore,12h 20m,1-stop,23:50,Mumbai,6568,economy,55
24/03/22,Vistara,UK,812,9:45,Bangalore,13h 05m,1-stop,22:50,Mumbai,6568,economy,56
24/03/22,Vistara,UK,802,18:50,Bangalore,13h 05m,1-stop,7:55,Mumbai,6568,economy,57
24/03/22,Vistara,UK,808,8:00,Bangalore,14h 00m,1-stop,22:00,Mumbai,6568,economy,58
24/03/22,Vistara,UK,814,21:10,Bangalore,14h 00m,1-stop,11:10,Mumbai,6568,economy,59
24/03/22,Vistara,UK,812,9:45,Bangalore,14h 05m,1-stop,23:50,Mumbai,6568,economy,60
24/03/22,Vistara,UK,820,17:50,Bangalore,14h 05m,1-stop,7:55,Mumbai,6568,economy,61
24/03/22,Vistara,UK,814,21:10,Bangalore,14h 25m,1-stop,11:35,Mumbai,6568,economy,62
24/03/22,Vistara,UK,808,8:00,Bangalore,14h 50m,1-stop,22:50,Mumbai,6568,economy,63
24/03/22,GO FIRST,G8,118,21:55,Bangalore,06h 20m,1-stop,4:15,Mumbai,6389,economy,64
